type,status,priority,estimatedHours,budget,expectedViews,expectedClicks,expectedLeads,expectedConversions,expectedCTR,expectedConversionRate,platforms,channel,complexityScore,riskLevel,delayHours,reopenCount,actualDurationHours
SEO,IN_PROGRESS,MEDIUM,6,250.00,0,0,0,0,0.00,0.00,Website,Organic,2,1,0.00,0,6
CAMPAIGN,TO_DO,HIGH,72,10000.00,120000,4000,200,50,3.33,0.50,"Facebook;Google",Multi,4,3,0.00,0,72
ANALYTICS,IN_REVIEW,HIGH,18,800.00,0,0,0,0,0.00,0.00,Website,Conversion,4,2,0.00,0,18
PPC,DONE,MEDIUM,30,3000.00,60000,900,40,8,1.50,0.44,Display,Programmatic,3,2,0.00,0,30
COPYWRITING,TO_DO,LOW,3,120.00,0,0,0,0,0.00,0.00,Website,Support,1,1,0.00,0,3
ANALYTICS,IN_PROGRESS,CRITICAL,16,900.00,0,0,0,0,0.00,0.00,Website,Analytics,5,4,0.00,0,16
SOCIAL_MEDIA,IN_PROGRESS,HIGH,28,4000.00,20000,600,50,12,3.00,0.83,LinkedIn,Social,4,3,0.00,0,28
CONTENT_CREATION,TO_DO,MEDIUM,40,700.00,5000,150,30,5,3.00,0.60,Website,Content,3,2,0.00,0,40
DESIGN,TO_DO,LOW,2,80.00,0,0,0,0,0.00,0.00,Website,Performance,1,1,0.00,0,2
EMAIL,IN_REVIEW,MEDIUM,6,500.00,10000,600,30,6,6.00,0.50,SMS,Direct,2,2,0.00,0,6
PPC,IN_PROGRESS,HIGH,14,1200.00,0,0,0,0,0.00,0.00,"Google;Bing",SEM,4,3,0.00,0,14
CONTENT_CREATION,TO_DO,LOW,10,250.00,8000,400,60,12,5.00,1.50,"Website;Social",Content,2,1,0.00,0,10
EMAIL,IN_PROGRESS,MEDIUM,8,350.00,0,0,0,0,0.00,0.00,Email,Email,3,2,0.00,0,8
CAMPAIGN,TO_DO,MEDIUM,60,4500.00,60000,2000,150,40,3.33,0.75,"LinkedIn;Website",Partnership,4,3,0.00,0,60
DESIGN,IN_REVIEW,HIGH,22,1100.00,0,0,0,0,0.00,0.00,Website,Product,4,3,0.00,0,22
DESIGN,TO_DO,LOW,6,220.00,0,0,0,0,0.00,0.00,"Website;Social",Creative,2,1,0.00,0,6
CAMPAIGN,IN_PROGRESS,MEDIUM,26,1800.00,25000,900,120,35,3.60,1.40,Website,Referral,3,2,0.00,0,26
SEO,DONE,HIGH,12,600.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,12
CAMPAIGN,IN_PROGRESS,CRITICAL,300,25000.00,300000,12000,800,200,4.00,0.67,Multi,Multi,5,4,5.00,0,300
COPYWRITING,TO_DO,LOW,18,400.00,2000,80,20,5,4.00,2.50,Website,Content,2,1,0.00,0,18
ANALYTICS,IN_PROGRESS,HIGH,20,900.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,20
CAMPAIGN,TO_DO,CRITICAL,480,50000.00,1000000,50000,4000,1000,5.00,2.50,Multi,Multi,5,5,0.00,0,480
CONTENT_CREATION,TO_DO,MEDIUM,12,600.00,15000,300,20,5,2.00,0.67,"Spotify;Website",Audio,3,2,0.00,0,12
ANALYTICS,IN_REVIEW,LOW,4,150.00,0,0,0,0,0.00,0.00,Website,Conversion,2,1,0.00,0,4
PPC,IN_PROGRESS,MEDIUM,26,2200.00,40000,800,60,15,2.00,0.75,Native,Programmatic,3,2,0.00,0,26
COPYWRITING,TO_DO,LOW,6,180.00,0,0,0,0,0.00,0.00,"YouTube;Creative",Creative,2,1,0.00,0,6
CAMPAIGN,IN_PROGRESS,HIGH,40,3500.00,50000,1500,200,60,3.00,1.20,"Email;App",Retention,4,3,0.00,0,40
ANALYTICS,TO_DO,CRITICAL,60,2000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,60
DESIGN,IN_PROGRESS,HIGH,24,1200.00,0,0,0,0,0.00,0.00,App,Product,4,3,0.00,0,24
PPC,IN_REVIEW,MEDIUM,12,1000.00,0,0,0,0,0.00,0.00,Display,Programmatic,3,2,0.00,0,12
COPYWRITING,TO_DO,LOW,4,160.00,0,0,0,0,0.00,0.00,"Facebook;Google",Creative,2,1,0.00,0,4
EMAIL,IN_PROGRESS,HIGH,30,900.00,20000,900,150,40,4.50,1.67,Email,Retention,3,2,0.00,0,30
SEO,TO_DO,LOW,2,70.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,2
CAMPAIGN,IN_PROGRESS,MEDIUM,48,6000.00,80000,3000,200,50,3.75,0.67,"Facebook;Instagram",Multi,4,3,0.00,0,48
CONTENT_CREATION,TO_DO,LOW,1,40.00,0,0,0,0,0.00,0.00,Internal,Ops,1,1,0.00,0,1
DESIGN,IN_REVIEW,LOW,6,120.00,0,0,0,0,0.00,0.00,Website,Product,2,1,0.00,0,6
SOCIAL_MEDIA,TO_DO,MEDIUM,20,1400.00,30000,1200,90,25,4.00,0.83,"App;Push",Retention,3,2,0.00,0,20
CONTENT_CREATION,IN_PROGRESS,MEDIUM,18,500.00,2000,50,10,2,2.50,0.50,Website,Support,3,2,0.00,0,18
SEO,TO_DO,HIGH,40,1500.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,40
CAMPAIGN,IN_PROGRESS,CRITICAL,120,10000.00,0,0,0,0,0.00,0.00,Website,Product,5,4,0.00,0,120
DESIGN,IN_REVIEW,LOW,8,320.00,0,0,0,0,0.00,0.00,"Instagram;TikTok",Creative,2,1,0.00,0,8
ANALYTICS,TO_DO,HIGH,36,1800.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,36
COPYWRITING,IN_PROGRESS,LOW,6,110.00,15000,600,30,8,4.00,0.53,Email,Email,2,1,0.00,0,6
DESIGN,IN_PROGRESS,MEDIUM,18,750.00,0,0,0,0,0.00,0.00,"Display;Social",Creative,3,2,0.00,0,18
SEO,TO_DO,LOW,4,200.00,0,0,0,0,0.00,0.00,Google,Local,2,1,0.00,0,4
CAMPAIGN,IN_PROGRESS,MEDIUM,28,1200.00,30000,900,60,12,3.00,0.67,"Facebook;Google",Multi,3,2,0.00,0,28
ANALYTICS,IN_PROGRESS,HIGH,10,500.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,10
COPYWRITING,TO_DO,LOW,2,90.00,0,0,0,0,0.00,0.00,Website,Product,1,1,0.00,0,2
EMAIL,IN_PROGRESS,MEDIUM,16,800.00,15000,700,80,25,4.67,1.14,Email,Email,3,2,0.00,0,16
ANALYTICS,TO_DO,CRITICAL,60,2000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,60
DESIGN,IN_PROGRESS,HIGH,24,1200.00,0,0,0,0,0.00,0.00,App,Product,4,3,0.00,0,24
PPC,IN_REVIEW,MEDIUM,12,1000.00,0,0,0,0,0.00,0.00,Display,Programmatic,3,2,0.00,0,12
COPYWRITING,TO_DO,LOW,4,160.00,0,0,0,0,0.00,0.00,"Facebook;Google",Creative,2,1,0.00,0,4
CAMPAIGN,IN_PROGRESS,HIGH,40,3500.00,50000,1500,200,60,3.00,1.20,"Email;App",Retention,4,3,0.00,0,40
ANALYTICS,TO_DO,LOW,8,300.00,0,0,0,0,0.00,0.00,Internal,Analytics,2,1,0.00,0,8
DESIGN,IN_REVIEW,MEDIUM,14,600.00,0,0,0,0,0.00,0.00,"Website;Social",Creative,3,2,0.00,0,14
SEO,TO_DO,LOW,2,70.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,2
PPC,IN_PROGRESS,MEDIUM,26,2200.00,40000,800,60,15,2.00,0.75,Display,Programmatic,3,2,0.00,0,26
CONTENT_CREATION,IN_PROGRESS,LOW,8,320.00,0,0,0,0,0.00,0.00,"Instagram;TikTok",Creative,2,1,0.00,0,8
ANALYTICS,TO_DO,HIGH,36,1800.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,36
COPYWRITING,IN_PROGRESS,LOW,6,110.00,15000,600,30,8,4.00,0.53,Email,Email,2,1,0.00,0,6
DESIGN,IN_PROGRESS,MEDIUM,18,750.00,0,0,0,0,0.00,0.00,"Display;Social",Creative,3,2,0.00,0,18
SEO,TO_DO,LOW,4,200.00,0,0,0,0,0.00,0.00,Google,Local,2,1,0.00,0,4
CAMPAIGN,IN_PROGRESS,MEDIUM,28,1200.00,30000,900,60,12,3.00,0.67,"Facebook;Google",Multi,3,2,0.00,0,28
ANALYTICS,IN_PROGRESS,HIGH,10,500.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,10
CAMPAIGN,DONE,HIGH,96,4500.00,90000,3500,180,45,3.89,0.50,"Facebook;Instagram",Social,4,2,0.00,0,96
CONTENT_CREATION,IN_PROGRESS,MEDIUM,14,600.00,7000,250,15,4,3.57,0.57,Website,Content,3,2,0.00,0,14
SEO,TO_DO,HIGH,20,1200.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,20
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,12,800.00,25000,900,40,10,3.60,0.44,"Instagram;TikTok",Social,3,2,0.00,0,12
EMAIL,IN_PROGRESS,LOW,6,200.00,8000,300,20,5,3.75,0.67,Email,Email,2,1,0.00,0,6
PPC,IN_PROGRESS,HIGH,36,9000.00,120000,6000,300,80,5.00,0.67,Google,SEM,5,3,0.00,1,36
ANALYTICS,TO_DO,CRITICAL,48,2500.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,48
DESIGN,IN_PROGRESS,MEDIUM,10,700.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,10
COPYWRITING,TO_DO,LOW,4,150.00,0,0,0,0,0.00,0.00,Website,Content,1,1,0.00,0,4
PPC,IN_REVIEW,MEDIUM,18,2200.00,30000,1200,60,15,4.00,0.50,Display,Programmatic,4,2,0.00,0,18
SOCIAL_MEDIA,DONE,HIGH,30,3200.00,60000,2500,140,35,4.17,0.58,"Facebook;LinkedIn",Social,4,2,0.00,0,30
CONTENT_CREATION,IN_PROGRESS,HIGH,28,1800.00,25000,900,50,12,3.60,0.48,YouTube,Video,4,3,0.00,0,28
EMAIL,TO_DO,MEDIUM,8,450.00,12000,500,30,8,4.17,0.60,Email,Email,3,2,0.00,0,8
DESIGN,IN_REVIEW,HIGH,22,1500.00,0,0,0,0,0.00,0.00,App,Product,4,3,0.00,0,22
SOCIAL_MEDIA,TO_DO,LOW,6,300.00,5000,200,10,2,4.00,0.40,"Instagram;Pinterest",Social,2,1,0.00,0,6
EMAIL,DONE,LOW,3,80.00,4000,150,8,2,3.75,0.50,Email,Email,1,1,0.00,0,3
DESIGN,IN_PROGRESS,MEDIUM,16,950.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,16
ANALYTICS,IN_REVIEW,MEDIUM,20,1100.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,20
DESIGN,TO_DO,LOW,5,120.00,0,0,0,0,0.00,0.00,Display,Creative,2,1,0.00,0,5
SEO,IN_PROGRESS,MEDIUM,12,600.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,12
CAMPAIGN,TO_DO,HIGH,84,14000.00,200000,8000,400,100,4.00,0.50,"Facebook;Google",Multi,4,3,0.00,0,84
ANALYTICS,IN_PROGRESS,HIGH,26,1300.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,26
PPC,DONE,MEDIUM,32,5000.00,90000,3500,180,45,3.89,0.50,Google,SEM,4,2,0.00,0,32
COPYWRITING,TO_DO,LOW,7,200.00,0,0,0,0,0.00,0.00,Website,Support,2,1,0.00,0,7
ANALYTICS,IN_PROGRESS,CRITICAL,40,2200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,40
SOCIAL_MEDIA,IN_PROGRESS,HIGH,24,3600.00,45000,1800,90,22,4.00,0.49,"LinkedIn;Twitter",Social,4,3,0.00,0,24
CONTENT_CREATION,TO_DO,MEDIUM,18,900.00,8000,300,20,6,3.75,0.75,Website,Content,3,2,0.00,0,18
DESIGN,TO_DO,LOW,4,90.00,0,0,0,0,0.00,0.00,Website,Creative,1,1,0.00,0,4
EMAIL,IN_REVIEW,MEDIUM,10,600.00,15000,700,40,10,4.67,0.67,Email,Email,3,2,0.00,0,10
PPC,IN_PROGRESS,HIGH,44,15000.00,250000,10000,500,120,4.00,0.48,Google,SEM,5,4,0.00,1,44
CONTENT_CREATION,DONE,MEDIUM,20,1200.00,20000,800,60,15,4.00,0.75,YouTube,Video,3,2,0.00,0,20
ANALYTICS,TO_DO,LOW,6,300.00,0,0,0,0,0.00,0.00,Internal,Analytics,2,1,0.00,0,6
DESIGN,IN_PROGRESS,MEDIUM,14,700.00,0,0,0,0,0.00,0.00,"Instagram;Website",Creative,3,2,0.00,0,14
SEO,TO_DO,LOW,8,350.00,0,0,0,0,0.00,0.00,Website,Organic,2,1,0.00,0,8
CAMPAIGN,IN_PROGRESS,MEDIUM,56,8000.00,120000,5000,250,60,4.17,0.50,"Facebook;Instagram",Multi,4,3,0.00,0,56
ANALYTICS,IN_REVIEW,HIGH,30,1600.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,30
PPC,IN_REVIEW,MEDIUM,20,2800.00,40000,1500,80,20,3.75,0.50,Display,Programmatic,4,2,0.00,0,20
COPYWRITING,IN_PROGRESS,LOW,9,320.00,5000,200,15,4,4.00,0.80,Website,Content,2,1,0.00,0,9
EMAIL,TO_DO,LOW,2,60.00,2000,80,5,1,4.00,0.63,Email,Email,1,1,0.00,0,2
DESIGN,IN_REVIEW,HIGH,26,1800.00,0,0,0,0,0.00,0.00,App,Product,4,3,0.00,0,26
SOCIAL_MEDIA,TO_DO,MEDIUM,12,900.00,22000,700,35,9,3.18,0.41,"TikTok;Instagram",Social,3,2,0.00,0,12
CONTENT_CREATION,IN_PROGRESS,HIGH,34,2500.00,40000,1500,80,20,3.75,0.50,YouTube,Video,4,3,0.00,0,34
ANALYTICS,TO_DO,CRITICAL,72,5000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,72
DESIGN,TO_DO,LOW,3,75.00,0,0,0,0,0.00,0.00,Display,Creative,1,1,0.00,0,3
SEO,IN_PROGRESS,MEDIUM,16,800.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,16
CAMPAIGN,DONE,HIGH,120,20000.00,400000,18000,900,220,4.50,0.55,"Multi;Programmatic",Multi,5,3,0.00,0,120
EMAIL,IN_PROGRESS,MEDIUM,12,700.00,18000,800,45,12,4.44,0.67,Email,Email,3,2,0.00,0,12
PPC,IN_PROGRESS,CRITICAL,60,30000.00,500000,25000,1200,300,5.00,0.60,Google,SEM,5,4,0.00,2,60
CONTENT_CREATION,TO_DO,MEDIUM,22,1100.00,12000,450,30,8,3.75,0.67,Website,Content,3,2,0.00,0,22
ANALYTICS,IN_REVIEW,HIGH,28,1400.00,0,0,0,0,0.00,0.00,Internal,Analytics,4,3,0.00,0,28
DESIGN,IN_PROGRESS,MEDIUM,18,950.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,18
SEO,TO_DO,LOW,5,150.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,5
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,20,1600.00,35000,1200,70,18,3.43,0.51,"Facebook;LinkedIn",Social,3,2,0.00,0,20
EMAIL,DONE,LOW,4,120.00,6000,250,12,3,4.17,0.50,Email,Email,2,1,0.00,0,4
PPC,IN_REVIEW,MEDIUM,24,4200.00,70000,3000,160,40,4.29,0.57,Display,Programmatic,4,2,0.00,0,24
CONTENT_CREATION,IN_PROGRESS,HIGH,30,2000.00,35000,1400,90,25,4.00,0.64,YouTube,Video,4,3,0.00,0,30
ANALYTICS,TO_DO,MEDIUM,10,500.00,0,0,0,0,0.00,0.00,Website,Performance,3,2,0.00,0,10
DESIGN,TO_DO,LOW,7,180.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,IN_PROGRESS,HIGH,36,2200.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,36
CAMPAIGN,IN_PROGRESS,MEDIUM,66,12000.00,180000,7000,350,90,3.89,0.50,"Facebook;Google",Multi,4,3,0.00,0,66
EMAIL,IN_REVIEW,MEDIUM,9,480.00,10000,420,25,6,4.20,0.60,Email,Email,3,2,0.00,0,9
PPC,IN_PROGRESS,HIGH,38,11000.00,160000,8000,420,110,5.00,0.69,Google,SEM,5,3,0.00,1,38
CONTENT_CREATION,TO_DO,LOW,11,420.00,6000,220,18,5,3.67,0.83,Website,Content,2,1,0.00,0,11
ANALYTICS,IN_REVIEW,HIGH,34,1700.00,0,0,0,0,0.00,0.00,Internal,Analytics,4,3,0.00,0,34
DESIGN,IN_PROGRESS,MEDIUM,15,820.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,15
SEO,TO_DO,MEDIUM,14,650.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,14
SOCIAL_MEDIA,IN_PROGRESS,HIGH,26,4200.00,70000,2800,160,45,4.00,0.64,"Instagram;TikTok",Social,4,3,0.00,0,26
EMAIL,TO_DO,LOW,3,90.00,2500,100,6,1,4.00,0.60,Email,Email,1,1,0.00,0,3
PPC,IN_REVIEW,MEDIUM,16,2600.00,35000,1400,70,18,4.00,0.51,Display,Programmatic,4,2,0.00,0,16
CONTENT_CREATION,IN_PROGRESS,MEDIUM,21,950.00,9000,350,22,6,3.89,0.67,YouTube,Video,3,2,0.00,0,21
ANALYTICS,TO_DO,CRITICAL,56,3200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,56
DESIGN,TO_DO,LOW,5,140.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,5
SEO,IN_REVIEW,HIGH,28,1300.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,28
CAMPAIGN,IN_PROGRESS,CRITICAL,200,40000.00,600000,30000,1500,350,5.00,0.58,"Multi;Programmatic",Multi,5,4,0.00,2,200
EMAIL,IN_PROGRESS,MEDIUM,14,720.00,16000,650,35,9,4.06,0.56,Email,Email,3,2,0.00,0,14
PPC,IN_REVIEW,HIGH,42,13000.00,210000,9000,480,120,4.29,0.57,Google,SEM,5,3,0.00,1,42
CONTENT_CREATION,TO_DO,MEDIUM,24,1300.00,15000,600,40,10,4.00,0.67,Website,Content,3,2,0.00,0,24
ANALYTICS,IN_PROGRESS,HIGH,32,1900.00,0,0,0,0,0.00,0.00,Internal,Analytics,4,3,0.00,0,32
DESIGN,IN_REVIEW,MEDIUM,20,1000.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,20
SEO,TO_DO,LOW,6,220.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,6
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,18,1400.00,28000,1100,55,14,3.93,0.50,"Facebook;Instagram",Social,3,2,0.00,0,18
EMAIL,DONE,LOW,4,130.00,7000,300,18,4,4.29,0.57,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,MEDIUM,34,7600.00,120000,5200,260,70,4.33,0.58,Display,Programmatic,4,3,0.00,0,34
CONTENT_CREATION,IN_REVIEW,HIGH,26,1600.00,28000,1100,70,18,3.93,0.64,YouTube,Video,4,3,0.00,0,26
ANALYTICS,TO_DO,MEDIUM,12,600.00,0,0,0,0,0.00,0.00,Website,Performance,3,2,0.00,0,12
DESIGN,TO_DO,LOW,8,210.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,8
SEO,IN_PROGRESS,MEDIUM,18,900.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,18
CAMPAIGN,IN_PROGRESS,HIGH,70,15000.00,220000,9000,450,110,4.09,0.50,"Facebook;Google",Multi,4,3,0.00,0,70
CAMPAIGN,IN_PROGRESS,HIGH,88,9500.00,140000,6000,320,80,4.29,0.57,"Facebook;Instagram",Multi,4,3,0.00,0,88
CONTENT_CREATION,TO_DO,MEDIUM,12,650.00,9000,320,22,6,3.56,0.67,Website,Content,3,2,0.00,0,12
SEO,IN_REVIEW,HIGH,18,1100.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,18
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,14,950.00,28000,1100,60,14,3.93,0.50,"Instagram;TikTok",Social,3,2,0.00,0,14
EMAIL,TO_DO,LOW,3,120.00,3000,120,8,2,4.00,0.67,Email,Email,1,1,0.00,0,3
PPC,IN_REVIEW,HIGH,34,8200.00,110000,5200,260,70,4.73,0.60,Google,SEM,5,3,0.00,0,34
ANALYTICS,IN_PROGRESS,CRITICAL,44,2600.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,44
DESIGN,TO_DO,MEDIUM,10,780.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,10
COPYWRITING,IN_PROGRESS,LOW,5,180.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
PPC,IN_PROGRESS,MEDIUM,20,2600.00,35000,1400,70,18,4.00,0.51,Display,Programmatic,4,2,0.00,0,20
SOCIAL_MEDIA,DONE,HIGH,26,4200.00,70000,2800,160,45,4.00,0.64,"Facebook;LinkedIn",Social,4,2,0.00,0,26
CONTENT_CREATION,IN_REVIEW,HIGH,30,2100.00,32000,1200,70,18,3.75,0.56,YouTube,Video,4,3,0.00,0,30
EMAIL,IN_PROGRESS,MEDIUM,9,520.00,14000,600,35,9,4.29,0.64,Email,Email,3,2,0.00,0,9
DESIGN,TO_DO,LOW,6,160.00,0,0,0,0,0.00,0.00,Display,Creative,2,1,0.00,0,6
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,16,1100.00,26000,900,45,11,3.46,0.42,"Instagram;Pinterest",Social,3,2,0.00,0,16
ANALYTICS,TO_DO,HIGH,28,1500.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,28
SEO,IN_PROGRESS,MEDIUM,22,1250.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,22
CAMPAIGN,IN_PROGRESS,CRITICAL,160,18000.00,250000,10000,600,150,4.00,0.60,"Facebook;Google",Multi,5,4,0.00,1,160
CONTENT_CREATION,TO_DO,LOW,7,300.00,4000,150,12,3,3.75,0.75,Website,Content,2,1,0.00,0,7
EMAIL,DONE,LOW,4,140.00,6000,260,14,4,4.33,0.67,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,46,17000.00,280000,12000,600,150,4.29,0.54,Google,SEM,5,4,0.00,1,46
DESIGN,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,18
ANALYTICS,IN_PROGRESS,MEDIUM,12,700.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,12
SEO,TO_DO,LOW,4,180.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,32,5200.00,90000,3600,200,50,4.00,0.56,"Instagram;TikTok",Social,4,3,0.00,0,32
CONTENT_CREATION,IN_REVIEW,MEDIUM,20,1200.00,15000,600,35,9,4.00,0.60,Website,Content,3,2,0.00,0,20
EMAIL,TO_DO,MEDIUM,6,300.00,9000,350,20,6,3.89,0.67,Email,Email,2,2,0.00,0,6
PPC,IN_REVIEW,MEDIUM,24,4800.00,80000,3500,180,45,4.38,0.56,Display,Programmatic,4,3,0.00,0,24
DESIGN,TO_DO,LOW,5,110.00,0,0,0,0,0.00,0.00,Website,Creative,1,1,0.00,0,5
ANALYTICS,IN_REVIEW,HIGH,36,2000.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,36
SEO,IN_PROGRESS,HIGH,26,1400.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,26
SOCIAL_MEDIA,TO_DO,MEDIUM,10,700.00,18000,700,30,8,3.89,0.44,"LinkedIn;Twitter",Social,3,2,0.00,0,10
CONTENT_CREATION,IN_PROGRESS,HIGH,38,2600.00,45000,1700,100,28,3.78,0.62,YouTube,Video,4,3,0.00,0,38
EMAIL,IN_REVIEW,LOW,3,90.00,2500,100,6,1,4.00,0.60,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,CRITICAL,72,42000.00,700000,35000,1800,450,5.00,0.64,Google,SEM,5,4,0.00,2,72
ANALYTICS,TO_DO,CRITICAL,80,6000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,80
DESIGN,IN_PROGRESS,MEDIUM,14,820.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,14
COPYWRITING,TO_DO,LOW,6,210.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,16
SOCIAL_MEDIA,IN_PROGRESS,HIGH,28,4800.00,85000,3400,190,48,4.00,0.56,"Facebook;Instagram",Social,4,3,0.00,0,28
